÷ ¡ø_A
t	x	y
0.000000000E0	2.153807251E-5	-1.046850144E-2
3.468888889E-2	2.153807251E-5	-1.046850144E-2
6.726666667E-2	2.153807251E-5	-1.046850144E-2
1.003000000E-1	8.488918384E-4	-1.054259855E-2
1.666666667E-1	5.788328194E-3	-9.400389649E-3
2.006888889E-1	9.983760436E-3	-8.650242770E-3
2.336000000E-1	1.569188714E-2	-8.702763418E-3
2.667666667E-1	2.238481438E-2	-8.468186550E-3
3.001111111E-1	3.130357280E-2	-8.057657834E-3
3.350111111E-1	4.034272943E-2	-7.699611374E-3
3.670333333E-1	5.067539896E-2	-7.332312372E-3
3.998333333E-1	6.301798582E-2	-7.439123141E-3
4.331777778E-1	7.684947950E-2	-6.757936470E-3
4.665222222E-1	9.056333278E-2	-7.390299328E-3
4.998666667E-1	1.073625646E-1	-7.206615731E-3
5.332111111E-1	1.264101584E-1	-7.776731373E-3
5.665555556E-1	1.470309705E-1	-8.078438164E-3
5.999000000E-1	1.692809303E-1	-7.964204274E-3
6.331333333E-1	1.899433408E-1	-7.801431758E-3
6.663666667E-1	2.143042566E-1	-7.642150919E-3
6.996000000E-1	2.371463250E-1	-7.455234167E-3
7.331888889E-1	2.609852527E-1	-7.646016028E-3
7.664111111E-1	2.887415824E-1	-6.926526276E-3
